20
23X RATTATA
21Q HITMONLEE
98Z WIGGLYTUFF
2R9 KRABBY
6N5 GHASTLY
69L NIDOQUEEN
U93 GRIMER
J39 DIGLETT
1C0 RHYDON
2N1 SLOWPOKE
H72 CHANSEY
9W6 GOLBAT
61Z CUBONE
2A7 LAPRAS
5U6 KADABRA
T85 VILEPLUME
O01 ARTICUNO
9C4 JOLTEON
9A1 DITTO
G35 PORYGON
20
21Q RATTATA
H72 HITMONLEE
T85 WIGGLYTUFF
2A7 KRABBY
23X GHASTLY
1C0 NIDOQUEEN
2N1 GRIMER
69L DIGLETT
61Z RHYDON
9C4 SLOWPOKE
9A1 CHANSEY
98Z GOLBAT
6N5 CUBONE
2R9 LAPRAS
5U6 KADABRA
G35 VILEPLUME
O01 ARTICUNO
U93 JOLTEON
9W6 DITTO
J39 PORYGON
6
WIGGLYTUFF
JOLTEON
RHYDON
GHASTLY
LAPRAS
CUBONE
