1000
9 Convex
1.44 2.65
2.64 4.76
4.14 5.32
7.68 4.78
8.60 3.12
7.76 1.52
6.82 0.02
4.26 0.00
2.46 1.26
-3.00 1.30
9 Convex
1.44 2.65
2.64 4.76
4.14 5.32
7.68 4.78
8.60 3.12
7.76 1.52
6.82 0.02
4.26 0.00
2.46 1.26
6.40 -1.30
9 Convex
1.44 2.65
2.64 4.76
4.14 5.32
7.68 4.78
8.60 3.12
7.76 1.52
6.82 0.02
4.26 0.00
2.46 1.26
6.40 3.20
15 Concave
1.44 2.65
2.64 4.76
3.54 3.06
4.14 5.32
5.10 3.94
7.68 4.78
8.60 3.12
7.02 2.6
7.26 3.72
6.36 3.94
5.54 2.72
7.76 1.52
6.82 0.02
4.26 0.00
2.46 1.26
-3.00 1.30
15 Concave
1.44 2.65
2.64 4.76
3.54 3.06
4.14 5.32
5.10 3.94
7.68 4.78
8.60 3.12
7.02 2.6
7.26 3.72
6.36 3.94
5.54 2.72
7.76 1.52
6.82 0.02
4.26 0.00
2.46 1.26
6.40 -1.30
15 Concave
1.44 2.65
2.64 4.76
3.54 3.06
4.14 5.32
5.10 3.94
7.68 4.78
8.60 3.12
7.02 2.6
7.26 3.72
6.36 3.94
5.54 2.72
7.76 1.52
6.82 0.02
4.26 0.00
2.46 1.26
6.40 3.20
7 Concave
-6967.77485 -5050.69533
4478.45177 -2888.87909
1725.71267 846.02214
871.20851 6213.52212
4207.10476 -536.03968
9421.90890 844.51548
2735.39759 -9183.20210
827.70433 -1391.79508
4 Convex
-8909.04537 9212.31086
6330.44459 1260.04246
7534.24755 449.39639
-7742.17686 596.57468
5117.42994 -3256.15854
4 Convex
-9903.07263 -5231.98844
-8344.00330 1638.20959
-1081.92471 9473.38730
-3198.75897 -1448.81187
-8841.78680 -8142.16730
6 Convex
-8430.76077 -3464.60384
-5987.75587 6095.13974
5731.30608 4641.08438
7422.88534 4041.47519
3680.99145 -723.76241
-8144.07147 -3729.61788
-916.38669 736.73701
4 Concave
-4226.26689 9285.39560
8378.27622 -5708.75617
-1335.66794 4680.71827
873.18134 -7933.37609
-8717.31425 3231.86079
3 Convex
608.25993 -5492.83116
5960.36414 2636.45851
8852.41804 -568.64890
-7487.47311 -6450.70772
12 Concave
-9958.23118 7824.71669
-4489.06817 9551.52771
5713.59489 -7904.60625
1068.84172 8540.07810
4850.20558 4207.88758
4728.18430 -1728.27523
9850.25626 -4630.93567
9795.38953 -7833.15880
5111.41612 -9593.96340
-5649.40963 7486.02442
-5526.92072 -1985.46783
-7851.52627 -5482.70614
-4203.75309 -8087.25117
4 Convex
-8337.46864 -3712.02345
7231.39498 8338.10997
4695.06223 -4286.25118
-704.71328 -8862.46329
6608.27863 9230.44232
4 Convex
-8625.65556 -4286.04623
9452.59994 7746.96057
9165.29725 4438.26341
6952.55130 -8427.28079
