13
1
33 -21
5
-17 37
34 -40
-46 -48
32 -9
24 26
10
23 45
-46 -4
9 36
-9 19
25 -21
47 -45
-12 -45
14 -29
42 -21
-47 -40
20
-46 45
42 45
4 4
-44 -7
-3 -44
-30 16
1 11
8 16
-45 -14
-50 -20
3 31
-19 31
42 -46
28 -25
-15 -38
41 6
-2 18
1 -27
-19 -33
27 23
30
-4 -18
-20 6
37 19
-36 29
-21 -10
-3 21
37 15
33 -5
33 13
18 -30
28 -24
-20 16
14 -28
17 13
-45 -15
43 9
-31 -41
38 -39
-7 32
29 -7
37 39
-37 -17
34 -18
-40 -50
11 -43
36 -10
-35 -27
-31 7
5 -30
29 27
40
45 9
42 -4
42 -11
-44 -42
-32 12
-1 -44
-24 -1
43 37
-29 45
-15 17
2 -16
43 -35
19 21
8 -38
9 -15
34 8
-19 -50
42 49
12 -39
41 15
-18 12
-15 -38
26 36
-21 -47
-17 34
33 1
-3 49
-6 -39
34 18
33 43
-2 42
-32 -16
7 -46
-12 32
47 48
-4 38
-16 11
-39 -21
6 -27
-44 16
50
-22 -19
-15 -29
-23 -27
44 42
1 32
-25 34
4 -18
26 29
9 -8
16 -1
27 32
38 -4
-7 -42
41 -49
-30 -30
38 -48
-16 28
-46 -27
-43 -15
-16 -42
3 -33
-46 10
-33 -40
0 11
-30 -18
46 19
-7 49
46 23
-49 -45
-25 -23
-32 30
13 -11
10 -44
-1 -40
-47 -25
-2 -41
-10 47
-18 19
15 -42
43 -40
48 36
3 20
35 -32
30 42
14 -46
-23 13
31 25
-29 32
39 49
46 -45
100
-20 -12
48 27
-25 34
9 8
-36 27
-38 -40
-17 31
-41 -34
-4 -14
30 14
-41 -12
-32 1
-11 -48
14 -26
48 -26
-47 35
-33 28
-20 47
-40 -32
-23 -45
41 -43
31 -29
22 -1
-3 49
6 -49
34 15
23 18
-42 26
7 17
-27 27
44 -12
-19 40
6 0
-37 -14
-20 27
10 41
41 -31
29 -29
-26 -46
13 14
36 11
30 36
-44 13
42 -14
49 33
-32 -22
35 -29
9 6
22 -33
43 15
-25 20
28 36
-7 29
11 25
-8 34
23 6
-15 -8
-32 7
16 -49
21 2
-35 -43
-17 -33
17 -14
-42 26
-37 36
27 35
-7 1
-20 19
-27 -7
-11 -23
-27 -28
17 38
-18 -12
-36 47
-28 44
-43 46
7 37
-34 -1
-5 -39
48 37
23 -25
-5 -49
9 6
7 15
19 -24
-44 -27
-10 -8
18 -7
23 -6
20 40
39 -7
44 -12
-34 0
-39 -29
24 -5
-19 23
-14 38
29 -47
-28 16
30 -37
500
-12 39
20 3
44 28
-19 44
23 46
-35 35
45 -40
8 -17
35 49
-41 32
-28 -7
43 -44
-4 39
-23 29
-18 -48
-38 5
32 13
-29 -33
43 -31
7 1
3 0
34 -30
10 -25
32 -34
-2 -1
-29 -41
14 23
38 -48
-48 27
32 6
-18 -17
43 5
-5 34
-28 -26
9 35
-11 -19
-7 29
-43 24
-43 -42
2 -13
42 27
38 -30
48 1
40 -44
25 3
43 8
-15 -32
2 -14
43 16
-30 -44
3 -37
-19 10
-33 47
-15 -10
-50 -27
-12 -40
-3 -43
-47 -50
39 -4
-22 -49
6 -44
49 46
20 22
45 -4
12 41
41 15
-18 35
-15 38
1 -45
34 -23
-48 5
37 42
0 -42
13 8
-21 -37
36 -6
-26 19
36 34
6 -1
-33 4
