30
Lions 3 Tigers 2
Tigers 4 Eagles 1
Bulldogs 1 Tigers 1
Tigers 2 Panthers 2
Wildcats 0 Tigers 4
Lions 5 Eagles 1
Bulldogs 0 Lions 0
Lions 1 Panthers 0
Wildcats 2 Lions 1
Eagles 1 Bulldogs 3
Panthers 3 Eagles 2
Eagles 4 Wildcats 4
Panthers 1 Bulldogs 1
Bulldogs 5 Wildcats 4
Wildcats 2 Panthers 1
Tigers 6 Lions 1
Eagles 3 Tigers 4
Tigers 2 Bulldogs 3
Panthers 0 Tigers 0
Tigers 5 Wildcats 4
Lions 1 Eagles 0
Bulldogs 0 Lions 3
Panthers 5 Lions 1
Lions 3 Wildcats 3
Bulldogs 3 Eagles 2
Eagles 6 Panthers 5
Wildcats 2 Eagles 1
Bulldogs 4 Panthers 5
Wildcats 3 Bulldogs 5
Panthers 3 Wildcats 3
