10
3,3,4
0,0,0,0
69.33,22.05,0,70.89
0,0,0,0
71.95,0,0,0
41.64,0,23.47,28.93
67.73,0,0,0
0,0,33.31,0
1.92,0,47.67,0
0,94.71,24.62,0
7,5,6
70.26,20.91,45.92,52.25,54.55,62.78
31.93,73.24,79.67,7.65,90.35,13.28
59.07,38.22,64.00,79.06,76.54,24.79
46.64,8.04,24.30,18.86,77.09,98.87
70.94,91.89,80.49,63.34,72.44,82.05
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,69.33,22.05,0,70.89,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,71.95,0,0,0,0
0,41.64,0,23.47,28.93,0
0,67.73,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,33.31,0,0
0,1.92,0,47.67,0,0
0,0,94.71,24.62,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
70.50,37.96,5.14,72.08,30.61,1.69
9.91,25.47,44.90,14.91,99.73,19.65
46.76,57.85,2.34,56.66,71.04,41.84
22.77,84.80,12.64,67.51,55.61,74.38
21.87,89.54,8.02,81.14,3.71,16.14
7,5,8
0,70.26,20.91,45.92,52.25,54.55,62.78,0
0,31.93,73.24,79.67,7.65,90.35,13.28,0
0,59.07,38.22,64.00,79.06,76.54,24.79,0
0,46.64,8.04,24.30,18.86,77.09,98.87,0
0,70.94,91.89,80.49,63.34,72.44,82.05,0
0,0,0,0,0,0,0,0
60.94,0,0,0,0,0,0,45.38
92.30,0,0,0,0,0,0,68.39
38.93,0,0,0,0,0,0,97.62
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
28.51,0,0,0,0,0,0,43.18
54.49,0,69.33,22.05,0,70.89,0,63.96
15.39,0,0,0,0,0,0,97.82
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
41.58,0,71.95,0,0,0,0,25.22
34.20,0,41.64,0,23.47,28.93,0,43.68
5.66,0,67.73,0,0,0,0,96.30
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
56.98,0,0,0,33.31,0,0,5.75
0.27,0,1.92,0,47.67,0,0,1.67
2.75,0,0,94.71,24.62,0,0,73.95
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
30.88,0,0,0,0,0,0,88.10
22.75,0,0,0,0,0,0,75.64
38.39,0,0,0,0,0,0,37.48
0,0,0,0,0,0,0,0
0,70.50,37.96,5.14,72.08,30.61,1.69,0
0,9.91,25.47,44.90,14.91,99.73,19.65,0
